compteur_id,timestamp,consommation,type_client,wilaya,ville,localisation,region,code_postal,fournisseur,tarif,puissance_souscrite,type_compteur,consommation_8h,categorie_client,ratio_consommation
123456,2024-05-24 05:09:56,56.33900 kWh,Residentiel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Ouest,75008,SONELGAZ,0.16,3.0,Smart Meter Gen 2,450.71200 kWh,Forte consommation,18.779666666666667
987654,2024-05-24 05:24:56,56.61900 kWh,Commercial,ORAN,AÏN TURK,"35.7435,-0.7695",Nord,31300,ENERGY_PLUS,0.16,3.0,Smart Meter Gen 3,452.95200 kWh,Forte consommation,18.873
789012,2024-05-24 05:39:56,13.81000 kWh,Industriel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Est,31130,POWER_ALGERIA,0.16,12.0,Smart Meter Gen 3,110.48000 kWh,Forte consommation,1.1508333333333334
789012,2024-05-24 05:54:56,37.39800 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Ouest,16270,SONELGAZ,0.16,6.0,Smart Meter Gen 1,299.18400 kWh,Forte consommation,6.2330000000000005
987654,2024-05-24 06:09:56,54.36100 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Ouest,16270,ENERGY_PLUS,0.12,9.0,Smart Meter Gen 2,434.88800 kWh,Forte consommation,6.040111111111111
999999,2024-05-24 06:24:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
345678,2024-05-24 06:24:56,14.95700 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Sud,16270,ENERGY_PLUS,0.14,6.0,Smart Meter Gen 2,119.65600 kWh,Forte consommation,2.4928333333333335
654321,2024-05-24 06:39:56,19.38800 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Ouest,75006,POWER_ALGERIA,0.14,9.0,Smart Meter Gen 3,155.10400 kWh,Forte consommation,2.1542222222222223
123456,2024-05-24 06:54:56,17.93500 kWh,Industriel,ORAN,ES SÉNIA,"35.6475,-0.6231",Centre,31100,SONELGAZ,0.16,3.0,Smart Meter Gen 1,143.48000 kWh,Forte consommation,5.978333333333333
654321,2024-05-24 07:09:56,88.96700 kWh,Residentiel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Sud,75008,SONELGAZ,0.16,12.0,Smart Meter Gen 2,711.73600 kWh,Forte consommation,7.413916666666666
999999,2024-05-24 07:24:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
654321,2024-05-24 07:24:56,7.49700 kWh,Commercial,ORAN,AÏN TURK,"35.7435,-0.7695",Centre,31300,SONELGAZ,0.12,9.0,Smart Meter Gen 2,59.97600 kWh,Forte consommation,0.833
999999,2024-05-24 07:39:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
123456,2024-05-24 07:39:56,67.79500 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Nord,75006,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 1,542.36000 kWh,Forte consommation,11.299166666666666
987654,2024-05-24 07:54:56,83.44700 kWh,Commercial,BISKRA,EL HADJEB,"34.8511,5.7416",Sud,75006,POWER_ALGERIA,0.14,3.0,Smart Meter Gen 3,667.57600 kWh,Forte consommation,27.81566666666667
654321,2024-05-24 08:09:56,2.90000 kWh,Industriel,ALGER,EL HARRACH,"36.7146,3.1319",Nord,16200,POWER_ALGERIA,0.14,15.0,Smart Meter Gen 2,23.20000 kWh,Consommation moyenne,0.19333333333333333
987654,2024-05-24 08:24:56,87.16000 kWh,Industriel,ORAN,AÏN TURK,"35.7435,-0.7695",Nord,31300,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 1,697.28000 kWh,Forte consommation,29.05333333333333
123456,2024-05-24 08:39:56,35.17700 kWh,Industriel,ALGER,EL HARRACH,"36.7146,3.1319",Centre,16200,SONELGAZ,0.14,12.0,Smart Meter Gen 1,281.41600 kWh,Forte consommation,2.931416666666667
987654,2024-05-24 08:54:56,52.19900 kWh,Industriel,BISKRA,SIDI KHALED,"34.4264,4.9431",Sud,75300,POWER_ALGERIA,0.16,3.0,Smart Meter Gen 3,417.59200 kWh,Forte consommation,17.399666666666665
345678,2024-05-24 09:09:56,28.28100 kWh,Residentiel,ORAN,AÏN TURK,"35.7435,-0.7695",Ouest,31300,SONELGAZ,0.14,12.0,Smart Meter Gen 1,226.24800 kWh,Forte consommation,2.35675
654321,2024-05-24 09:24:56,88.08600 kWh,Residentiel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Est,31130,POWER_ALGERIA,0.12,15.0,Smart Meter Gen 3,704.68800 kWh,Forte consommation,5.8724
654321,2024-05-24 09:39:56,26.11900 kWh,Residentiel,ORAN,AÏN TURK,"35.7435,-0.7695",Centre,31300,SONELGAZ,0.16,6.0,Smart Meter Gen 1,208.95200 kWh,Forte consommation,4.353166666666667
987654,2024-05-24 09:54:56,47.84000 kWh,Commercial,BISKRA,EL HADJEB,"34.8511,5.7416",Nord,75006,POWER_ALGERIA,0.12,12.0,Smart Meter Gen 2,382.72000 kWh,Forte consommation,3.986666666666667
999999,2024-05-24 10:09:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
654321,2024-05-24 10:09:56,14.26300 kWh,Industriel,BISKRA,SIDI KHALED,"34.4264,4.9431",Centre,75300,ENERGY_PLUS,0.12,6.0,Smart Meter Gen 1,114.10400 kWh,Forte consommation,2.3771666666666667
654321,2024-05-24 10:24:56,72.24100 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Sud,75006,SONELGAZ,0.14,9.0,Smart Meter Gen 1,577.92800 kWh,Forte consommation,8.026777777777777
123456,2024-05-24 10:39:56,2.30900 kWh,Industriel,ORAN,ES SÉNIA,"35.6475,-0.6231",Ouest,31100,POWER_ALGERIA,0.14,6.0,Smart Meter Gen 1,18.47200 kWh,Consommation moyenne,0.38483333333333336
345678,2024-05-24 10:54:56,84.01700 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Sud,16270,SONELGAZ,0.16,9.0,Smart Meter Gen 1,672.13600 kWh,Forte consommation,9.335222222222221
999999,2024-05-24 11:09:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
987654,2024-05-24 11:09:56,36.43600 kWh,Industriel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Centre,75008,ENERGY_PLUS,0.14,12.0,Smart Meter Gen 3,291.48800 kWh,Forte consommation,3.0363333333333333
345678,2024-05-24 11:24:56,71.50900 kWh,Residentiel,ORAN,ES SÉNIA,"35.6475,-0.6231",Ouest,31100,POWER_ALGERIA,0.16,12.0,Smart Meter Gen 2,572.07200 kWh,Forte consommation,5.959083333333333
123456,2024-05-24 11:39:56,52.62300 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Nord,75006,POWER_ALGERIA,0.12,3.0,Smart Meter Gen 1,420.98400 kWh,Forte consommation,17.541
123456,2024-05-24 11:54:56,0.44100 kWh,Residentiel,BISKRA,EL HADJEB,"34.8511,5.7416",Sud,75006,SONELGAZ,0.16,9.0,Smart Meter Gen 2,3.52800 kWh,Faible consommation,0.049
999999,2024-05-24 12:09:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
123456,2024-05-24 12:09:56,53.11000 kWh,Commercial,BISKRA,SIDI KHALED,"34.4264,4.9431",Est,75300,ENERGY_PLUS,0.12,12.0,Smart Meter Gen 1,424.88000 kWh,Forte consommation,4.425833333333333
999999,2024-05-24 12:24:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
654321,2024-05-24 12:24:56,59.58700 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Ouest,16270,ENERGY_PLUS,0.16,9.0,Smart Meter Gen 2,476.69600 kWh,Forte consommation,6.6207777777777785
345678,2024-05-24 12:39:56,72.12700 kWh,Commercial,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Nord,75008,ENERGY_PLUS,0.16,9.0,Smart Meter Gen 1,577.01600 kWh,Forte consommation,8.014111111111111
987654,2024-05-24 12:54:56,56.15500 kWh,Commercial,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Centre,75008,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 2,449.24000 kWh,Forte consommation,18.718333333333334
345678,2024-05-24 13:09:56,10.70600 kWh,Commercial,BISKRA,EL HADJEB,"34.8511,5.7416",Sud,75006,SONELGAZ,0.12,15.0,Smart Meter Gen 2,85.64800 kWh,Forte consommation,0.7137333333333333
345678,2024-05-24 13:24:56,30.78400 kWh,Commercial,ORAN,AÏN TURK,"35.7435,-0.7695",Sud,31300,ENERGY_PLUS,0.12,15.0,Smart Meter Gen 2,246.27200 kWh,Forte consommation,2.0522666666666667
123456,2024-05-24 13:39:56,28.84600 kWh,Residentiel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Nord,31130,ENERGY_PLUS,0.14,15.0,Smart Meter Gen 2,230.76800 kWh,Forte consommation,1.9230666666666667
654321,2024-05-24 13:54:56,23.96100 kWh,Industriel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Nord,16024,POWER_ALGERIA,0.14,6.0,Smart Meter Gen 3,191.68800 kWh,Forte consommation,3.9934999999999996
789012,2024-05-24 14:09:56,87.14300 kWh,Residentiel,BISKRA,EL HADJEB,"34.8511,5.7416",Centre,75006,POWER_ALGERIA,0.16,3.0,Smart Meter Gen 1,697.14400 kWh,Forte consommation,29.047666666666668
123456,2024-05-24 14:24:56,41.08000 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Est,16270,SONELGAZ,0.16,9.0,Smart Meter Gen 2,328.64000 kWh,Forte consommation,4.564444444444444
987654,2024-05-24 14:39:56,4.28900 kWh,Commercial,ALGER,OUED SMAR,"36.7,3.1833",Centre,16270,POWER_ALGERIA,0.12,15.0,Smart Meter Gen 2,34.31200 kWh,Consommation moyenne,0.2859333333333333
345678,2024-05-24 14:54:56,9.71800 kWh,Residentiel,ALGER,EL HARRACH,"36.7146,3.1319",Centre,16200,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 1,77.74400 kWh,Forte consommation,1.6196666666666666
654321,2024-05-24 15:09:56,57.97400 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Nord,16270,POWER_ALGERIA,0.16,9.0,Smart Meter Gen 1,463.79200 kWh,Forte consommation,6.4415555555555555
999999,2024-05-24 15:24:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
654321,2024-05-24 15:24:56,42.08600 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Nord,75006,SONELGAZ,0.12,15.0,Smart Meter Gen 1,336.68800 kWh,Forte consommation,2.8057333333333334
654321,2024-05-24 15:39:56,9.13900 kWh,Commercial,ALGER,BAB EZZOUAR,"36.7268,3.1829",Nord,16024,ENERGY_PLUS,0.14,9.0,Smart Meter Gen 1,73.11200 kWh,Forte consommation,1.0154444444444444
654321,2024-05-24 15:54:56,32.21500 kWh,Industriel,ORAN,ES SÉNIA,"35.6475,-0.6231",Centre,31100,SONELGAZ,0.16,3.0,Smart Meter Gen 1,257.72000 kWh,Forte consommation,10.738333333333335
789012,2024-05-24 16:09:56,94.20900 kWh,Commercial,ALGER,BAB EZZOUAR,"36.7268,3.1829",Est,16024,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 1,753.67200 kWh,Forte consommation,31.403000000000002
123456,2024-05-24 16:24:56,34.73400 kWh,Commercial,ALGER,EL HARRACH,"36.7146,3.1319",Sud,16200,SONELGAZ,0.16,3.0,Smart Meter Gen 1,277.87200 kWh,Forte consommation,11.578000000000001
789012,2024-05-24 16:39:56,90.59600 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Centre,75006,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 2,724.76800 kWh,Forte consommation,30.198666666666668
654321,2024-05-24 16:54:56,96.28000 kWh,Residentiel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Ouest,75008,SONELGAZ,0.16,15.0,Smart Meter Gen 2,770.24000 kWh,Forte consommation,6.418666666666667
123456,2024-05-24 17:09:56,97.94400 kWh,Residentiel,BISKRA,SIDI KHALED,"34.4264,4.9431",Centre,75300,ENERGY_PLUS,0.12,6.0,Smart Meter Gen 3,783.55200 kWh,Forte consommation,16.324
789012,2024-05-24 17:24:56,92.35100 kWh,Commercial,BISKRA,SIDI KHALED,"34.4264,4.9431",Sud,75300,POWER_ALGERIA,0.16,9.0,Smart Meter Gen 2,738.80800 kWh,Forte consommation,10.261222222222223
987654,2024-05-24 17:39:56,74.02100 kWh,Residentiel,BISKRA,EL HADJEB,"34.8511,5.7416",Ouest,75006,ENERGY_PLUS,0.12,6.0,Smart Meter Gen 2,592.16800 kWh,Forte consommation,12.336833333333333
654321,2024-05-24 17:54:56,20.77300 kWh,Industriel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Ouest,75008,SONELGAZ,0.16,12.0,Smart Meter Gen 2,166.18400 kWh,Forte consommation,1.7310833333333333
789012,2024-05-24 18:09:56,95.37400 kWh,Industriel,ORAN,AÏN TURK,"35.7435,-0.7695",Centre,31300,POWER_ALGERIA,0.14,12.0,Smart Meter Gen 2,762.99200 kWh,Forte consommation,7.947833333333333
789012,2024-05-24 18:24:56,96.98100 kWh,Commercial,BISKRA,SIDI KHALED,"34.4264,4.9431",Nord,75300,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 2,775.84800 kWh,Forte consommation,16.1635
789012,2024-05-24 18:39:56,95.04300 kWh,Industriel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Nord,31130,SONELGAZ,0.14,9.0,Smart Meter Gen 2,760.34400 kWh,Forte consommation,10.560333333333334
789012,2024-05-24 18:54:56,20.82600 kWh,Commercial,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Est,75008,ENERGY_PLUS,0.12,12.0,Smart Meter Gen 3,166.60800 kWh,Forte consommation,1.7355
789012,2024-05-24 19:09:56,57.54000 kWh,Residentiel,ALGER,EL HARRACH,"36.7146,3.1319",Nord,16200,SONELGAZ,0.12,15.0,Smart Meter Gen 3,460.32000 kWh,Forte consommation,3.836
987654,2024-05-24 19:24:56,67.37200 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Est,75006,SONELGAZ,0.12,9.0,Smart Meter Gen 3,538.97600 kWh,Forte consommation,7.485777777777778
123456,2024-05-24 19:39:56,25.59100 kWh,Industriel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Est,31130,SONELGAZ,0.16,3.0,Smart Meter Gen 2,204.72800 kWh,Forte consommation,8.530333333333333
987654,2024-05-24 19:54:56,55.05900 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Est,16270,POWER_ALGERIA,0.12,15.0,Smart Meter Gen 3,440.47200 kWh,Forte consommation,3.6706
123456,2024-05-24 20:09:56,36.94900 kWh,Residentiel,ORAN,AÏN TURK,"35.7435,-0.7695",Centre,31300,SONELGAZ,0.12,9.0,Smart Meter Gen 1,295.59200 kWh,Forte consommation,4.105444444444444
789012,2024-05-24 20:24:56,76.00500 kWh,Industriel,ORAN,AÏN TURK,"35.7435,-0.7695",Centre,31300,SONELGAZ,0.12,12.0,Smart Meter Gen 1,608.04000 kWh,Forte consommation,6.333749999999999
123456,2024-05-24 20:39:56,96.02800 kWh,Commercial,ALGER,BAB EZZOUAR,"36.7268,3.1829",Ouest,16024,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 1,768.22400 kWh,Forte consommation,16.00466666666667
999999,2024-05-24 20:54:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
123456,2024-05-24 20:54:56,44.22500 kWh,Residentiel,BISKRA,SIDI KHALED,"34.4264,4.9431",Ouest,75300,ENERGY_PLUS,0.12,9.0,Smart Meter Gen 1,353.80000 kWh,Forte consommation,4.913888888888889
987654,2024-05-24 21:09:56,71.78400 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Est,16270,POWER_ALGERIA,0.12,6.0,Smart Meter Gen 1,574.27200 kWh,Forte consommation,11.964
654321,2024-05-24 21:24:56,7.59300 kWh,Industriel,BISKRA,SIDI KHALED,"34.4264,4.9431",Ouest,75300,ENERGY_PLUS,0.16,12.0,Smart Meter Gen 3,60.74400 kWh,Forte consommation,0.63275
345678,2024-05-24 21:39:56,33.17800 kWh,Residentiel,ORAN,ES SÉNIA,"35.6475,-0.6231",Sud,31100,POWER_ALGERIA,0.16,6.0,Smart Meter Gen 2,265.42400 kWh,Forte consommation,5.5296666666666665
123456,2024-05-24 21:54:56,60.56600 kWh,Residentiel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Sud,16024,ENERGY_PLUS,0.14,6.0,Smart Meter Gen 3,484.52800 kWh,Forte consommation,10.094333333333333
345678,2024-05-24 22:09:56,72.77700 kWh,Commercial,ORAN,ES SÉNIA,"35.6475,-0.6231",Centre,31100,ENERGY_PLUS,0.14,9.0,Smart Meter Gen 1,582.21600 kWh,Forte consommation,8.086333333333334
123456,2024-05-24 22:24:56,62.96400 kWh,Residentiel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Nord,75008,POWER_ALGERIA,0.16,15.0,Smart Meter Gen 3,503.71200 kWh,Forte consommation,4.1975999999999996
123456,2024-05-24 22:39:56,94.35600 kWh,Industriel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Ouest,75008,POWER_ALGERIA,0.12,15.0,Smart Meter Gen 3,754.84800 kWh,Forte consommation,6.2904
987654,2024-05-24 22:54:56,58.81600 kWh,Industriel,ORAN,BIR EL DJIR,"35.7106,-0.5625",Ouest,31130,POWER_ALGERIA,0.14,12.0,Smart Meter Gen 2,470.52800 kWh,Forte consommation,4.9013333333333335
789012,2024-05-24 23:09:56,30.17900 kWh,Industriel,ORAN,ES SÉNIA,"35.6475,-0.6231",Ouest,31100,POWER_ALGERIA,0.16,3.0,Smart Meter Gen 1,241.43200 kWh,Forte consommation,10.059666666666667
789012,2024-05-24 23:24:56,97.76100 kWh,Residentiel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Ouest,16024,ENERGY_PLUS,0.14,9.0,Smart Meter Gen 1,782.08800 kWh,Forte consommation,10.862333333333332
999999,2024-05-24 23:39:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
987654,2024-05-24 23:39:56,50.54000 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Sud,16270,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 3,404.32000 kWh,Forte consommation,16.846666666666668
999999,2024-05-24 23:54:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
345678,2024-05-24 23:54:56,49.26800 kWh,Commercial,ALGER,EL HARRACH,"36.7146,3.1319",Ouest,16200,ENERGY_PLUS,0.12,3.0,Smart Meter Gen 1,394.14400 kWh,Forte consommation,16.422666666666668
123456,2024-05-25 00:09:56,0.54100 kWh,Residentiel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Centre,75008,POWER_ALGERIA,0.14,12.0,Smart Meter Gen 2,4.32800 kWh,Faible consommation,0.045083333333333336
654321,2024-05-25 00:24:56,25.91900 kWh,Residentiel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Est,16024,ENERGY_PLUS,0.12,12.0,Smart Meter Gen 1,207.35200 kWh,Forte consommation,2.1599166666666667
987654,2024-05-25 00:39:56,40.46600 kWh,Industriel,ORAN,ES SÉNIA,"35.6475,-0.6231",Centre,31100,ENERGY_PLUS,0.12,15.0,Smart Meter Gen 1,323.72800 kWh,Forte consommation,2.6977333333333333
345678,2024-05-25 00:54:56,51.88200 kWh,Commercial,ORAN,BIR EL DJIR,"35.7106,-0.5625",Nord,31130,POWER_ALGERIA,0.12,9.0,Smart Meter Gen 3,415.05600 kWh,Forte consommation,5.764666666666667
987654,2024-05-25 01:09:56,81.23800 kWh,Industriel,BISKRA,EL HADJEB,"34.8511,5.7416",Sud,75006,SONELGAZ,0.16,6.0,Smart Meter Gen 1,649.90400 kWh,Forte consommation,13.539666666666667
123456,2024-05-25 01:24:56,48.56300 kWh,Industriel,BISKRA,M’CHOUNECHE,"34.9639,6.0822",Sud,75008,SONELGAZ,0.16,6.0,Smart Meter Gen 2,388.50400 kWh,Forte consommation,8.093833333333334
654321,2024-05-25 01:39:56,20.08500 kWh,Residentiel,ALGER,OUED SMAR,"36.7,3.1833",Est,16270,ENERGY_PLUS,0.12,6.0,Smart Meter Gen 1,160.68000 kWh,Forte consommation,3.3475
999999,2024-05-25 01:54:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
789012,2024-05-25 01:54:56,50.19200 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Centre,16270,POWER_ALGERIA,0.16,6.0,Smart Meter Gen 3,401.53600 kWh,Forte consommation,8.365333333333334
345678,2024-05-25 02:09:56,21.99000 kWh,Industriel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Centre,16024,ENERGY_PLUS,0.12,15.0,Smart Meter Gen 3,175.92000 kWh,Forte consommation,1.466
999999,2024-05-25 02:24:56,0.50000 kWh,Residentiel,ALGER,ALGER,"36.7538,3.0588",Nord,16000,ÉNERGIE_PLUS_,0.12,5.0,Smart Meter Gen 3,4.00000 kWh,Faible consommation,0.1
789012,2024-05-25 02:24:56,62.60700 kWh,Commercial,ALGER,OUED SMAR,"36.7,3.1833",Ouest,16270,SONELGAZ,0.12,9.0,Smart Meter Gen 2,500.85600 kWh,Forte consommation,6.956333333333333
345678,2024-05-25 02:39:56,84.46100 kWh,Commercial,ORAN,BIR EL DJIR,"35.7106,-0.5625",Est,31130,SONELGAZ,0.14,3.0,Smart Meter Gen 1,675.68800 kWh,Forte consommation,28.153666666666666
789012,2024-05-25 02:54:56,92.63900 kWh,Industriel,ALGER,OUED SMAR,"36.7,3.1833",Nord,16270,SONELGAZ,0.12,6.0,Smart Meter Gen 3,741.11200 kWh,Forte consommation,15.439833333333333
987654,2024-05-25 03:09:56,56.31800 kWh,Industriel,ALGER,BAB EZZOUAR,"36.7268,3.1829",Est,16024,ENERGY_PLUS,0.16,9.0,Smart Meter Gen 1,450.54400 kWh,Forte consommation,6.257555555555555
345678,2024-05-25 03:24:56,59.94900 kWh,Commercial,BISKRA,EL HADJEB,"34.8511,5.7416",Nord,75006,ENERGY_PLUS,0.14,6.0,Smart Meter Gen 2,479.59200 kWh,Forte consommation,9.9915
